alpha3,alpha2,name,type
kef,,Kpessi,Living
keg,,Tese,Living
keh,,Keak,Living
kei,,Kei,Living
kej,,Kadar,Living
kek,,Kekchí,Living
kel,,Kela (Democratic Republic of Congo),Living
kem,,Kemak,Living
ken,,Kenyang,Living
keo,,Kakwa,Living
kep,,Kaikadi,Living
keq,,Kamar,Living
ker,,Kera,Living
kes,,Kugbo,Living
ket,,Ket,Living
keu,,Akebu,Living
kev,,Kanikkaran,Living
kew,,West Kewa,Living
kex,,Kukna,Living
key,,Kupia,Living
kez,,Kukele,Living
kfa,,Kodava,Living
kfb,,Northwestern Kolami,Living
kfc,,Konda-Dora,Living
kfd,,Korra Koraga,Living
kfe,,Kota (India),Living
kff,,Koya,Living
kfg,,Kudiya,Living
kfh,,Kurichiya,Living
kfi,,Kannada Kurumba,Living
kfj,,Kemiehua,Living
kfk,,Kinnauri,Living
kfl,,Kung,Living
kfm,,Khunsari,Living
kfn,,Kuk,Living
kfo,,Koro (Côte d'Ivoire),Living
kfp,,Korwa,Living
kfq,,Korku,Living
kfr,,Kachchi,Living
kfs,,Bilaspuri,Living
kft,,Kanjari,Living
kfu,,Katkari,Living
kfv,,Kurmukar,Living
kfw,,Kharam Naga,Living
kfx,,Kullu Pahari,Living
kfy,,Kumaoni,Living
kfz,,Koromfé,Living
kga,,Koyaga,Living
kgb,,Kawe,Living
kgc,,Kasseng,Living
kgd,,Kataang,Living
kge,,Komering,Living
kgf,,Kube,Living
kgg,,Kusunda,Living
kgi,,Selangor Sign Language,Living
kgj,,Gamale Kham,Living
kgk,,Kaiwá,Living
kgl,,Kunggari,Extinct
kgm,,Karipúna,Extinct
kgn,,Karingani,Living
kgo,,Krongo,Living
kgp,,Kaingang,Living
kgq,,Kamoro,Living
kgr,,Abun,Living
kgs,,Kumbainggar,Living
kgt,,Somyev,Living
kgu,,Kobol,Living
kgv,,Karas,Living
kgw,,Karon Dori,Living
kgx,,Kamaru,Living
kgy,,Kyerung,Living
kha,,Khasi,Living
khb,,Lü,Living
khc,,Tukang Besi North,Living
khd,,Bädi Kanum,Living
khe,,Korowai,Living
khf,,Khuen,Living
khg,,Khams Tibetan,Living
khh,,Kehu,Living
khj,,Kuturmi,Living
khk,,Halh Mongolian,Living
khl,,Lusi,Living
khm,km,Central Khmer,Living
khn,,Khandesi,Living
kho,,Khotanese,Ancient
khp,,Kapori,Living
khq,,Koyra Chiini Songhay,Living
khr,,Kharia,Living
khs,,Kasua,Living
kht,,Khamti,Living
khu,,Nkhumbi,Living
khv,,Khvarshi,Living
khw,,Khowar,Living
khx,,Kanu,Living
khy,,Kele (Democratic Republic of Congo),Living
khz,,Keapara,Living
kia,,Kim,Living
kib,,Koalib,Living
kic,,Kickapoo,Living
kid,,Koshin,Living
kie,,Kibet,Living
kif,,Eastern Parbate Kham,Living
kig,,Kimaama,Living
kih,,Kilmeri,Living
kii,,Kitsai,Extinct
kij,,Kilivila,Living
kik,ki,Kikuyu,Living
kil,,Kariya,Living
kim,,Karagas,Living
kin,rw,Kinyarwanda,Living
kio,,Kiowa,Living
kip,,Sheshi Kham,Living
kiq,,Kosadle,Living
kir,ky,Kirghiz,Living
kis,,Kis,Living
kit,,Agob,Living
kiu,,Kirmanjki (individual language),Living
kiv,,Kimbu,Living
kiw,,Northeast Kiwai,Living
kix,,Khiamniungan Naga,Living
kiy,,Kirikiri,Living
kiz,,Kisi,Living
kja,,Mlap,Living
kjb,,Q'anjob'al,Living
kjc,,Coastal Konjo,Living
kjd,,Southern Kiwai,Living
kje,,Kisar,Living
kjf,,Khalaj,Living
kjg,,Khmu,Living
kjh,,Khakas,Living
kji,,Zabana,Living
kjj,,Khinalugh,Living
kjk,,Highland Konjo,Living
kjl,,Western Parbate Kham,Living
kjm,,Kháng,Living
kjn,,Kunjen,Living
kjo,,Harijan Kinnauri,Living
kjp,,Pwo Eastern Karen,Living
kjq,,Western Keres,Living
kjr,,Kurudu,Living
kjs,,East Kewa,Living
kjt,,Phrae Pwo Karen,Living
kju,,Kashaya,Living
kjx,,Ramopa,Living
kjy,,Erave,Living
kjz,,Bumthangkha,Living
kka,,Kakanda,Living
kkb,,Kwerisa,Living
kkc,,Odoodee,Living
kkd,,Kinuku,Living
kke,,Kakabe,Living
kkf,,Kalaktang Monpa,Living
kkg,,Mabaka Valley Kalinga,Living
kkh,,Khün,Living
kki,,Kagulu,Living
kkj,,Kako,Living
kkk,,Kokota,Living
kkl,,Kosarek Yale,Living
kkm,,Kiong,Living
kkn,,Kon Keu,Living
kko,,Karko,Living
kkp,,Gugubera,Living
kkq,,Kaiku,Living
kkr,,Kir-Balar,Living
kks,,Giiwo,Living
kkt,,Koi,Living
kku,,Tumi,Living
kkv,,Kangean,Living
kkw,,Teke-Kukuya,Living
kkx,,Kohin,Living
kky,,Guguyimidjir,Living
kkz,,Kaska,Living
kla,,Klamath-Modoc,Extinct
klb,,Kiliwa,Living
klc,,Kolbila,Living
kld,,Gamilaraay,Living
kle,,Kulung (Nepal),Living
klf,,Kendeje,Living
klg,,Tagakaulo,Living
klh,,Weliki,Living
kli,,Kalumpang,Living
klj,,Turkic Khalaj,Living
klk,,Kono (Nigeria),Living
kll,,Kagan Kalagan,Living
klm,,Migum,Living
kln,,Kalenjin,Living
klo,,Kapya,Living
klp,,Kamasa,Living
klq,,Rumu,Living
klr,,Khaling,Living
kls,,Kalasha,Living
klt,,Nukna,Living
klu,,Klao,Living
klv,,Maskelynes,Living
klw,,Lindu,Living
klx,,Koluwawa,Living
kly,,Kalao,Living
klz,,Kabola,Living
kma,,Konni,Living
kmb,,Kimbundu,Living
kmc,,Southern Dong,Living
kmd,,Majukayang Kalinga,Living
kme,,Bakole,Living
kmf,,Kare (Papua New Guinea),Living
kmg,,Kâte,Living
kmh,,Kalam,Living
kmi,,Kami (Nigeria),Living
kmj,,Kumarbhag Paharia,Living
kmk,,Limos Kalinga,Living
kml,,Tanudan Kalinga,Living
kmm,,Kom (India),Living
kmn,,Awtuw,Living
kmo,,Kwoma,Living
kmp,,Gimme,Living
kmq,,Kwama,Living
kmr,,Northern Kurdish,Living
kms,,Kamasau,Living
kmt,,Kemtuik,Living
kmu,,Kanite,Living
kmv,,Karipúna Creole French,Living
kmw,,Komo (Democratic Republic of Congo),Living
kmx,,Waboda,Living
kmy,,Koma,Living
kmz,,Khorasani Turkish,Living
kna,,Dera (Nigeria),Living
knb,,Lubuagan Kalinga,Living
knc,,Central Kanuri,Living
knd,,Konda,Living
kne,,Kankanaey,Living
knf,,Mankanya,Living
kng,,Koongo,Living
kni,,Kanufi,Living
knj,,Western Kanjobal,Living
knk,,Kuranko,Living
knl,,Keninjal,Living
knm,,Kanamarí,Living
knn,,Konkani (individual language),Living
kno,,Kono (Sierra Leone),Living
knp,,Kwanja,Living
knq,,Kintaq,Living
knr,,Kaningra,Living
kns,,Kensiu,Living
knt,,Panoan Katukína,Living
knu,,Kono (Guinea),Living
knv,,Tabo,Living
knw,,Kung-Ekoka,Living
knx,,Kendayan,Living
kny,,Kanyok,Living
knz,,Kalamsé,Living
koa,,Konomala,Living
koc,,Kpati,Extinct
kod,,Kodi,Living
koe,,Kacipo-Balesi,Living
kof,,Kubi,Extinct
kog,,Cogui,Living
koh,,Koyo,Living
koi,,Komi-Permyak,Living
koj,,Sara Dunjo,Living
kok,,Konkani (macrolanguage),Living
kol,,Kol (Papua New Guinea),Living
kom,kv,Komi,Living
kon,kg,Kongo,Living
koo,,Konzo,Living
kop,,Waube,Living
koq,,Kota (Gabon),Living
kor,ko,Korean,Living
kos,,Kosraean,Living
kot,,Lagwan,Living
kou,,Koke,Living
kov,,Kudu-Camo,Living
kow,,Kugama,Living
kox,,Coxima,Extinct
koy,,Koyukon,Living
koz,,Korak,Living
kpa,,Kutto,Living
kpb,,Mullu Kurumba,Living
kpc,,Curripaco,Living
kpd,,Koba,Living
kpe,,Kpelle,Living
kpf,,Komba,Living
kpg,,Kapingamarangi,Living
kph,,Kplang,Living
kpi,,Kofei,Living
kpj,,Karajá,Living
kpk,,Kpan,Living
kpl,,Kpala,Living
kpm,,Koho,Living
kpn,,Kepkiriwát,Extinct
kpo,,Ikposo,Living
kpq,,Korupun-Sela,Living
kpr,,Korafe-Yegha,Living
kps,,Tehit,Living
kpt,,Karata,Living
kpu,,Kafoa,Living
kpv,,Komi-Zyrian,Living
kpw,,Kobon,Living
kpx,,Mountain Koiali,Living
kpy,,Koryak,Living
kpz,,Kupsabiny,Living
kqa,,Mum,Living
kqb,,Kovai,Living
kqc,,Doromu-Koki,Living
kqd,,Koy Sanjaq Surat,Living
kqe,,Kalagan,Living
kqf,,Kakabai,Living
kqg,,Khe,Living
kqh,,Kisankasa,Living
kqi,,Koitabu,Living
kqj,,Koromira,Living
kqk,,Kotafon Gbe,Living
kql,,Kyenele,Living
kqm,,Khisa,Living
kqn,,Kaonde,Living
kqo,,Eastern Krahn,Living
kqp,,Kimré,Living
kqq,,Krenak,Living
kqr,,Kimaragang,Living
kqs,,Northern Kissi,Living
kqt,,Klias River Kadazan,Living
kqu,,Seroa,Extinct
kqv,,Okolod,Living
kqw,,Kandas,Living
kqx,,Mser,Living
kqy,,Koorete,Living
kqz,,Korana,Extinct
kra,,Kumhali,Living
krb,,Karkin,Extinct
krc,,Karachay-Balkar,Living
krd,,Kairui-Midiki,Living
kre,,Panará,Living
krf,,Koro (Vanuatu),Living
krh,,Kurama,Living
kri,,Krio,Living
krj,,Kinaray-A,Living
krk,,Kerek,Extinct
krl,,Karelian,Living
krm,,Krim,Living
krn,,Sapo,Living
krp,,Korop,Living
krr,,Kru'ng 2,Living
krs,,Gbaya (Sudan),Living
krt,,Tumari Kanuri,Living
kru,,Kurukh,Living
krv,,Kavet,Living
krw,,Western Krahn,Living
krx,,Karon,Living
kry,,Kryts,Living
krz,,Sota Kanum,Living
ksa,,Shuwa-Zamani,Living
ksb,,Shambala,Living
ksc,,Southern Kalinga,Living
ksd,,Kuanua,Living
kse,,Kuni,Living
ksf,,Bafia,Living
ksg,,Kusaghe,Living
ksh,,Kölsch,Living
ksi,,Krisa,Living
ksj,,Uare,Living
ksk,,Kansa,Living
ksl,,Kumalu,Living
ksm,,Kumba,Living
ksn,,Kasiguranin,Living
kso,,Kofa,Living
ksp,,Kaba,Living
ksq,,Kwaami,Living
ksr,,Borong,Living
kss,,Southern Kisi,Living
kst,,Winyé,Living
ksu,,Khamyang,Living
ksv,,Kusu,Living
ksw,,S'gaw Karen,Living
ksx,,Kedang,Living
ksy,,Kharia Thar,Living
ksz,,Kodaku,Living
kta,,Katua,Living
ktb,,Kambaata,Living
ktc,,Kholok,Living
ktd,,Kokata,Living
kte,,Nubri,Living
ktf,,Kwami,Living
ktg,,Kalkutung,Extinct
kth,,Karanga,Living
kti,,North Muyu,Living
ktj,,Plapo Krumen,Living
ktk,,Kaniet,Extinct
ktl,,Koroshi,Living
ktm,,Kurti,Living
ktn,,Karitiâna,Living
kto,,Kuot,Living
ktp,,Kaduo,Living
ktq,,Katabaga,Extinct
ktr,,Kota Marudu Tinagas,Living
kts,,South Muyu,Living
ktt,,Ketum,Living
ktu,,Kituba (Democratic Republic of Congo),Living
ktv,,Eastern Katu,Living
ktw,,Kato,Extinct
ktx,,Kaxararí,Living
kty,,Kango (Bas-Uélé District),Living
ktz,,Ju/'hoan,Living
kua,kj,Kuanyama,Living
kub,,Kutep,Living
kuc,,Kwinsu,Living
kud,,'Auhelawa,Living
kue,,Kuman,Living
kuf,,Western Katu,Living
kug,,Kupa,Living
kuh,,Kushi,Living
kui,,Kuikúro-Kalapálo,Living
kuj,,Kuria,Living
kuk,,Kepo',Living
kul,,Kulere,Living
kum,,Kumyk,Living
kun,,Kunama,Living
kuo,,Kumukio,Living
kup,,Kunimaipa,Living
kuq,,Karipuna,Living
kur,ku,Kurdish,Living
kus,,Kusaal,Living
kut,,Kutenai,Living
kuu,,Upper Kuskokwim,Living
kuv,,Kur,Living
kuw,,Kpagua,Living
kux,,Kukatja,Living
kuy,,Kuuku-Ya'u,Living
kuz,,Kunza,Extinct
kva,,Bagvalal,Living
kvb,,Kubu,Living
kvc,,Kove,Living
kvd,,Kui (Indonesia),Living
kve,,Kalabakan,Living
kvf,,Kabalai,Living
kvg,,Kuni-Boazi,Living
kvh,,Komodo,Living
kvi,,Kwang,Living
kvj,,Psikye,Living
kvk,,Korean Sign Language,Living
kvl,,Kayaw,Living
kvm,,Kendem,Living
kvn,,Border Kuna,Living
kvo,,Dobel,Living
kvp,,Kompane,Living
kvq,,Geba Karen,Living
kvr,,Kerinci,Living
kvs,,Kunggara,Living
kvt,,Lahta Karen,Living
kvu,,Yinbaw Karen,Living
kvv,,Kola,Living
kvw,,Wersing,Living
kvx,,Parkari Koli,Living
kvy,,Yintale Karen,Living
kvz,,Tsakwambo,Living
kwa,,Dâw,Living
kwb,,Kwa,Living
kwc,,Likwala,Living
kwd,,Kwaio,Living
kwe,,Kwerba,Living
kwf,,Kwara'ae,Living
kwg,,Sara Kaba Deme,Living
kwh,,Kowiai,Living
kwi,,Awa-Cuaiquer,Living
kwj,,Kwanga,Living
kwk,,Kwakiutl,Living
kwl,,Kofyar,Living
kwm,,Kwambi,Living
kwn,,Kwangali,Living
kwo,,Kwomtari,Living
kwp,,Kodia,Living
kwq,,Kwak,Living
kwr,,Kwer,Living
kws,,Kwese,Living
kwt,,Kwesten,Living
kwu,,Kwakum,Living
kwv,,Sara Kaba Náà,Living
kww,,Kwinti,Living
kwx,,Khirwar,Living
kwy,,San Salvador Kongo,Living
kwz,,Kwadi,Extinct
kxa,,Kairiru,Living
kxb,,Krobu,Living
kxc,,Konso,Living
kxd,,Brunei,Living
kxe,,Kakihum,Living
kxf,,Manumanaw Karen,Living
kxh,,Karo (Ethiopia),Living
kxi,,Keningau Murut,Living
kxj,,Kulfa,Living
kxk,,Zayein Karen,Living
kxl,,Nepali Kurux,Living
kxm,,Northern Khmer,Living
kxn,,Kanowit-Tanjong Melanau,Living
kxo,,Kanoé,Extinct
kxp,,Wadiyara Koli,Living
kxq,,Smärky Kanum,Living
kxr,,Koro (Papua New Guinea),Living
kxs,,Kangjia,Living
kxt,,Koiwat,Living
kxu,,Kui (India),Living
kxv,,Kuvi,Living
kxw,,Konai,Living
kxx,,Likuba,Living
kxy,,Kayong,Living
kxz,,Kerewo,Living
kya,,Kwaya,Living
kyb,,Butbut Kalinga,Living
kyc,,Kyaka,Living
kyd,,Karey,Living
kye,,Krache,Living
kyf,,Kouya,Living
kyg,,Keyagana,Living
kyh,,Karok,Living
kyi,,Kiput,Living
kyj,,Karao,Living
kyk,,Kamayo,Living
kyl,,Kalapuya,Living
kym,,Kpatili,Living
kyn,,Northern Binukidnon,Living
kyo,,Kelon,Living
kyp,,Kang,Living
kyq,,Kenga,Living
kyr,,Kuruáya,Living
kys,,Baram Kayan,Living
kyt,,Kayagar,Living
kyu,,Western Kayah,Living
kyv,,Kayort,Living
kyw,,Kudmali,Living
kyx,,Rapoisi,Living
kyy,,Kambaira,Living
kyz,,Kayabí,Living
kza,,Western Karaboro,Living
kzb,,Kaibobo,Living
kzc,,Bondoukou Kulango,Living
kzd,,Kadai,Living
kze,,Kosena,Living
kzf,,Da'a Kaili,Living
kzg,,Kikai,Living
kzi,,Kelabit,Living
kzj,,Coastal Kadazan,Living
kzk,,Kazukuru,Extinct
kzl,,Kayeli,Living
kzm,,Kais,Living
kzn,,Kokola,Living
kzo,,Kaningi,Living
kzp,,Kaidipang,Living
kzq,,Kaike,Living
kzr,,Karang,Living
kzs,,Sugut Dusun,Living
kzt,,Tambunan Dusun,Living
kzu,,Kayupulau,Living
kzv,,Komyandaret,Living
kzw,,Karirí-Xocó,Extinct
kzx,,Kamarian,Living
kzy,,Kango (Tshopo District),Living
kzz,,Kalabra,Living
laa,,Southern Subanen,Living
lab,,Linear A,Ancient
lac,,Lacandon,Living
lad,,Ladino,Living
lae,,Pattani,Living
laf,,Lafofa,Living
lag,,Langi,Living
lah,,Lahnda,Living
lai,,Lambya,Living
laj,,Lango (Uganda),Living
lak,,Laka (Nigeria),Living
lal,,Lalia,Living
lam,,Lamba,Living
lan,,Laru,Living
lao,lo,Lao,Living
lap,,Laka (Chad),Living
laq,,Qabiao,Living
lar,,Larteh,Living
las,,Lama (Togo),Living
lat,la,Latin,Ancient
lau,,Laba,Living
lav,lv,Latvian,Living
law,,Lauje,Living
lax,,Tiwa,Living
lay,,Lama Bai,Living
laz,,Aribwatsa,Extinct
lba,,Lui,Extinct
lbb,,Label,Living
lbc,,Lakkia,Living
lbe,,Lak,Living
lbf,,Tinani,Living
lbg,,Laopang,Living
lbi,,La'bi,Living
lbj,,Ladakhi,Living
lbk,,Central Bontok,Living
lbl,,Libon Bikol,Living
lbm,,Lodhi,Living
lbn,,Lamet,Living
lbo,,Laven,Living
lbq,,Wampar,Living
lbr,,Lohorung,Living
lbs,,Libyan Sign Language,Living
lbt,,Lachi,Living
lbu,,Labu,Living
lbv,,Lavatbura-Lamusong,Living
lbw,,Tolaki,Living
lbx,,Lawangan,Living
lby,,Lamu-Lamu,Extinct
lbz,,Lardil,Living
lcc,,Legenyem,Living
lcd,,Lola,Living
lce,,Loncong,Living
lcf,,Lubu,Living
lch,,Luchazi,Living
lcl,,Lisela,Living
lcm,,Tungag,Living
lcp,,Western Lawa,Living
lcq,,Luhu,Living
lcs,,Lisabata-Nuniali,Living
lda,,Kla-Dan,Living
ldb,,Dũya,Living
ldd,,Luri,Living
ldg,,Lenyima,Living
ldh,,Lamja-Dengsa-Tola,Living
ldi,,Laari,Living
ldj,,Lemoro,Living
ldk,,Leelau,Living
ldl,,Kaan,Living
ldm,,Landoma,Living
ldn,,Láadan,Constructed
ldo,,Loo,Living
ldp,,Tso,Living
ldq,,Lufu,Living
lea,,Lega-Shabunda,Living
leb,,Lala-Bisa,Living
lec,,Leco,Living
led,,Lendu,Living
lee,,Lyélé,Living
lef,,Lelemi,Living
leh,,Lenje,Living
lei,,Lemio,Living
lej,,Lengola,Living
lek,,Leipon,Living
lel,,Lele (Democratic Republic of Congo),Living
lem,,Nomaande,Living
len,,Lenca,Extinct
leo,,Leti (Cameroon),Living
lep,,Lepcha,Living
leq,,Lembena,Living
ler,,Lenkau,Living
les,,Lese,Living
let,,Lesing-Gelimi,Living
leu,,Kara (Papua New Guinea),Living
lev,,Lamma,Living
lew,,Ledo Kaili,Living
lex,,Luang,Living
ley,,Lemolang,Living
lez,,Lezghian,Living
lfa,,Lefa,Living
lfn,,Lingua Franca Nova,Constructed
lga,,Lungga,Living
lgb,,Laghu,Living
lgg,,Lugbara,Living
lgh,,Laghuu,Living
lgi,,Lengilu,Living
lgk,,Lingarak,Living
lgl,,Wala,Living
lgm,,Lega-Mwenga,Living
lgn,,Opuuo,Living
lgq,,Logba,Living
lgr,,Lengo,Living
lgt,,Pahi,Living
lgu,,Longgu,Living
lgz,,Ligenza,Living
lha,,Laha (Viet Nam),Living
lhh,,Laha (Indonesia),Living
lhi,,Lahu Shi,Living
lhl,,Lahul Lohar,Living
lhm,,Lhomi,Living
lhn,,Lahanan,Living
lhp,,Lhokpu,Living
lhs,,Mlahsö,Extinct
lht,,Lo-Toga,Living
lhu,,Lahu,Living
lia,,West-Central Limba,Living
lib,,Likum,Living
lic,,Hlai,Living
lid,,Nyindrou,Living
lie,,Likila,Living
lif,,Limbu,Living
lig,,Ligbi,Living
lih,,Lihir,Living
lii,,Lingkhim,Living
lij,,Ligurian,Living
lik,,Lika,Living
lil,,Lillooet,Living
lim,li,Limburgan,Living
lin,ln,Lingala,Living
lio,,Liki,Living
lip,,Sekpele,Living
liq,,Libido,Living
lir,,Liberian English,Living
lis,,Lisu,Living
lit,lt,Lithuanian,Living
liu,,Logorik,Living
liv,,Liv,Living
liw,,Col,Living
lix,,Liabuku,Living
liy,,Banda-Bambari,Living
liz,,Libinza,Living
lja,,Golpa,Extinct
lje,,Rampi,Living
lji,,Laiyolo,Living
ljl,,Li'o,Living
ljp,,Lampung Api,Living
ljw,,Yirandali,Living
ljx,,Yuru,Extinct
lka,,Lakalei,Living
lkb,,Kabras,Living
lkc,,Kucong,Living
lkd,,Lakondê,Living
lke,,Kenyi,Living
lkh,,Lakha,Living
lki,,Laki,Living
lkj,,Remun,Living
lkl,,Laeko-Libuat,Living
lkm,,Kalaamaya,Extinct
lkn,,Lakon,Living
lko,,Khayo,Living
lkr,,Päri,Living
lks,,Kisa,Living
lkt,,Lakota,Living
lku,,Kungkari,Extinct
lky,,Lokoya,Living
lla,,Lala-Roba,Living
llb,,Lolo,Living
llc,,Lele (Guinea),Living
lld,,Ladin,Living
lle,,Lele (Papua New Guinea),Living
llf,,Hermit,Extinct
llg,,Lole,Living
llh,,Lamu,Living
lli,,Teke-Laali,Living
llj,,Ladji Ladji,Extinct
llk,,Lelak,Extinct
lll,,Lilau,Living
llm,,Lasalimu,Living
lln,,Lele (Chad),Living
llo,,Khlor,Living
llp,,North Efate,Living
llq,,Lolak,Living
lls,,Lithuanian Sign Language,Living
llu,,Lau,Living
llx,,Lauan,Living
lma,,East Limba,Living
lmb,,Merei,Living
lmc,,Limilngan,Extinct
lmd,,Lumun,Living
lme,,Pévé,Living
lmf,,South Lembata,Living
lmg,,Lamogai,Living
lmh,,Lambichhong,Living
lmi,,Lombi,Living
lmj,,West Lembata,Living
lmk,,Lamkang,Living
lml,,Hano,Living
lmn,,Lambadi,Living
lmo,,Lombard,Living
lmp,,Limbum,Living
lmq,,Lamatuka,Living
lmr,,Lamalera,Living
lmu,,Lamenu,Living
lmv,,Lomaiviti,Living
lmw,,Lake Miwok,Living
lmx,,Laimbue,Living
lmy,,Lamboya,Living
lmz,,Lumbee,Extinct
lna,,Langbashe,Living
lnb,,Mbalanhu,Living
lnd,,Lundayeh,Living
lng,,Langobardic,Ancient
lnh,,Lanoh,Living
lni,,Daantanai',Living
lnj,,Leningitij,Extinct
lnl,,South Central Banda,Living
lnm,,Langam,Living
lnn,,Lorediakarkar,Living
lno,,Lango (Sudan),Living
lns,,Lamnso',Living
lnu,,Longuda,Living
lnw,,Lanima,Extinct
lnz,,Lonzo,Living
loa,,Loloda,Living
lob,,Lobi,Living
loc,,Inonhan,Living
loe,,Saluan,Living
lof,,Logol,Living
log,,Logo,Living
loh,,Narim,Living
loi,,Loma (Côte d'Ivoire),Living
loj,,Lou,Living
lok,,Loko,Living
lol,,Mongo,Living
lom,,Loma (Liberia),Living
lon,,Malawi Lomwe,Living
loo,,Lombo,Living
lop,,Lopa,Living
loq,,Lobala,Living
lor,,Téén,Living
los,,Loniu,Living
lot,,Otuho,Living
lou,,Louisiana Creole French,Living
lov,,Lopi,Living
low,,Tampias Lobu,Living
lox,,Loun,Living
loy,,Loke,Living
loz,,Lozi,Living
lpa,,Lelepa,Living
lpe,,Lepki,Living
lpn,,Long Phuri Naga,Living
lpo,,Lipo,Living
lpx,,Lopit,Living
lra,,Rara Bakati',Living
lrc,,Northern Luri,Living
lre,,Laurentian,Extinct
lrg,,Laragia,Extinct
lri,,Marachi,Living
lrk,,Loarki,Living
lrl,,Lari,Living
lrm,,Marama,Living
lrn,,Lorang,Living
lro,,Laro,Living
lrr,,Southern Yamphu,Living
lrt,,Larantuka Malay,Living
lrv,,Larevat,Living
lrz,,Lemerig,Living
lsa,,Lasgerdi,Living
lsd,,Lishana Deni,Living
lse,,Lusengo,Living
lsg,,Lyons Sign Language,Living
lsh,,Lish,Living
lsi,,Lashi,Living
lsl,,Latvian Sign Language,Living
lsm,,Saamia,Living
lso,,Laos Sign Language,Living
lsp,,Panamanian Sign Language,Living
lsr,,Aruop,Living
lss,,Lasi,Living
lst,,Trinidad and Tobago Sign Language,Living
lsy,,Mauritian Sign Language,Living
ltc,,Late Middle Chinese,Historical
ltg,,Latgalian,Living
lti,,Leti (Indonesia),Living
ltn,,Latundê,Living
lto,,Tsotso,Living
lts,,Tachoni,Living
ltu,,Latu,Living
ltz,lb,Luxembourgish,Living
lua,,Luba-Lulua,Living
lub,lu,Luba-Katanga,Living
luc,,Aringa,Living
lud,,Ludian,Living
lue,,Luvale,Living
luf,,Laua,Living
lug,lg,Ganda,Living
lui,,Luiseno,Living
luj,,Luna,Living
luk,,Lunanakha,Living
lul,,Olu'bo,Living
lum,,Luimbi,Living
lun,,Lunda,Living
luo,,Luo (Kenya and Tanzania),Living
lup,,Lumbu,Living
luq,,Lucumi,Living
lur,,Laura,Living
lus,,Lushai,Living
lut,,Lushootseed,Living
luu,,Lumba-Yakkha,Living
luv,,Luwati,Living
luw,,Luo (Cameroon),Living
luy,,Luyia,Living
luz,,Southern Luri,Living
lva,,Maku'a,Living
lvk,,Lavukaleve,Living
lvs,,Standard Latvian,Living
lvu,,Levuka,Living
lwa,,Lwalu,Living
lwe,,Lewo Eleng,Living
lwg,,Wanga,Living
lwh,,White Lachi,Living
lwl,,Eastern Lawa,Living
lwm,,Laomian,Living
lwo,,Luwo,Living
lwt,,Lewotobi,Living
lwu,,Lawu,Living
lww,,Lewo,Living
lya,,Layakha,Living
lyg,,Lyngngam,Living
lyn,,Luyana,Living
lzh,,Literary Chinese,Historical
lzl,,Litzlitz,Living
lzn,,Leinong Naga,Living
lzz,,Laz,Living
maa,,San Jerónimo Tecóatl Mazatec,Living
mab,,Yutanduchi Mixtec,Living
mad,,Madurese,Living
mae,,Bo-Rukul,Living
maf,,Mafa,Living
mag,,Magahi,Living
mah,mh,Marshallese,Living
mai,,Maithili,Living
maj,,Jalapa De Díaz Mazatec,Living
mak,,Makasar,Living
mal,ml,Malayalam,Living
mam,,Mam,Living
man,,Mandingo,Living
maq,,Chiquihuitlán Mazatec,Living
mar,mr,Marathi,Living
mas,,Masai,Living
mat,,San Francisco Matlatzinca,Living
mau,,Huautla Mazatec,Living
mav,,Sateré-Mawé,Living
maw,,Mampruli,Living
max,,North Moluccan Malay,Living
maz,,Central Mazahua,Living
mba,,Higaonon,Living
mbb,,Western Bukidnon Manobo,Living
mbc,,Macushi,Living
mbd,,Dibabawon Manobo,Living
mbe,,Molale,Extinct
mbf,,Baba Malay,Living
mbh,,Mangseng,Living
mbi,,Ilianen Manobo,Living
mbj,,Nadëb,Living
mbk,,Malol,Living
mbl,,Maxakalí,Living
mbm,,Ombamba,Living
mbn,,Macaguán,Living
mbo,,Mbo (Cameroon),Living
mbp,,Malayo,Living
mbq,,Maisin,Living
mbr,,Nukak Makú,Living
mbs,,Sarangani Manobo,Living
mbt,,Matigsalug Manobo,Living
mbu,,Mbula-Bwazza,Living
mbv,,Mbulungish,Living
mbw,,Maring,Living
mbx,,Mari (East Sepik Province),Living
mby,,Memoni,Living
mbz,,Amoltepec Mixtec,Living
mca,,Maca,Living
mcb,,Machiguenga,Living
mcc,,Bitur,Living
mcd,,Sharanahua,Living
mce,,Itundujia Mixtec,Living
mcf,,Matsés,Living
mcg,,Mapoyo,Living
mch,,Maquiritari,Living
mci,,Mese,Living
mcj,,Mvanip,Living
mck,,Mbunda,Living
mcl,,Macaguaje,Extinct
mcm,,Malaccan Creole Portuguese,Living
mcn,,Masana,Living
mco,,Coatlán Mixe,Living
mcp,,Makaa,Living
mcq,,Ese,Living
mcr,,Menya,Living
mcs,,Mambai,Living
mct,,Mengisa,Living
mcu,,Cameroon Mambila,Living
mcv,,Minanibai,Living
mcw,,Mawa (Chad),Living
mcx,,Mpiemo,Living
mcy,,South Watut,Living
mcz,,Mawan,Living
mda,,Mada (Nigeria),Living
mdb,,Morigi,Living
mdc,,Male (Papua New Guinea),Living
mdd,,Mbum,Living
mde,,Maba (Chad),Living
mdf,,Moksha,Living
mdg,,Massalat,Living
mdh,,Maguindanaon,Living
mdi,,Mamvu,Living
mdj,,Mangbetu,Living
mdk,,Mangbutu,Living
