alpha3,alpha2,name,type
bjy,,Bayali,Extinct
bjz,,Baruga,Living
bka,,Kyak,Living
bkc,,Baka (Cameroon),Living
bkd,,Binukid,Living
bkf,,Beeke,Living
bkg,,Buraka,Living
bkh,,Bakoko,Living
bki,,Baki,Living
bkj,,Pande,Living
bkk,,Brokskat,Living
bkl,,Berik,Living
bkm,,Kom (Cameroon),Living
bkn,,Bukitan,Living
bko,,Kwa',Living
bkp,,Boko (Democratic Republic of Congo),Living
bkq,,Bakairí,Living
bkr,,Bakumpai,Living
bks,,Northern Sorsoganon,Living
bkt,,Boloki,Living
bku,,Buhid,Living
bkv,,Bekwarra,Living
bkw,,Bekwel,Living
bkx,,Baikeno,Living
bky,,Bokyi,Living
bkz,,Bungku,Living
bla,,Siksika,Living
blb,,Bilua,Living
blc,,Bella Coola,Living
bld,,Bolango,Living
ble,,Balanta-Kentohe,Living
blf,,Buol,Living
blg,,Balau,Living
blh,,Kuwaa,Living
bli,,Bolia,Living
blj,,Bolongan,Living
blk,,Pa'o Karen,Living
bll,,Biloxi,Extinct
blm,,Beli (Sudan),Living
bln,,Southern Catanduanes Bikol,Living
blo,,Anii,Living
blp,,Blablanga,Living
blq,,Baluan-Pam,Living
blr,,Blang,Living
bls,,Balaesang,Living
blt,,Tai Dam,Living
blv,,Bolo,Living
blw,,Balangao,Living
blx,,Mag-Indi Ayta,Living
bly,,Notre,Living
blz,,Balantak,Living
bma,,Lame,Living
bmb,,Bembe,Living
bmc,,Biem,Living
bmd,,Baga Manduri,Living
bme,,Limassa,Living
bmf,,Bom,Living
bmg,,Bamwe,Living
bmh,,Kein,Living
bmi,,Bagirmi,Living
bmj,,Bote-Majhi,Living
bmk,,Ghayavi,Living
bml,,Bomboli,Living
bmm,,Northern Betsimisaraka Malagasy,Living
bmn,,Bina (Papua New Guinea),Extinct
bmo,,Bambalang,Living
bmp,,Bulgebi,Living
bmq,,Bomu,Living
bmr,,Muinane,Living
bms,,Bilma Kanuri,Living
bmt,,Biao Mon,Living
bmu,,Somba-Siawari,Living
bmv,,Bum,Living
bmw,,Bomwali,Living
bmx,,Baimak,Living
bmy,,Bemba (Democratic Republic of Congo),Living
bmz,,Baramu,Living
bna,,Bonerate,Living
bnb,,Bookan,Living
bnc,,Bontok,Living
bnd,,Banda (Indonesia),Living
bne,,Bintauna,Living
bnf,,Masiwang,Living
bng,,Benga,Living
bni,,Bangi,Living
bnj,,Eastern Tawbuid,Living
bnk,,Bierebo,Living
bnl,,Boon,Living
bnm,,Batanga,Living
bnn,,Bunun,Living
bno,,Bantoanon,Living
bnp,,Bola,Living
bnq,,Bantik,Living
bnr,,Butmas-Tur,Living
bns,,Bundeli,Living
bnu,,Bentong,Living
bnv,,Bonerif,Living
bnw,,Bisis,Living
bnx,,Bangubangu,Living
bny,,Bintulu,Living
bnz,,Beezen,Living
boa,,Bora,Living
bob,,Aweer,Living
bod,bo,Tibetan,Living
boe,,Mundabli,Living
bof,,Bolon,Living
